word,category,meanings,is
कथ्य,ना.,"अभिव्यक्ति गरिएको विषयवस्तु
बोलिएको; मौखिक",SI
कद,ना.,शरीरको आकारप्रकार; जीउडाल,II
कदम,सङ्.  ना.,"कुनै उद्देश्य प्राप्तिका लागि सुरु गरिएको काम
खुट्टाको गति
 खुट्टाले सतहमा टेक्ने काम
खुट्टाको फड्को; पाइला
पहेँलो नरम झुसको पत्र भएको मुठीमा अटाउने जत्रो आकारको गोलो फल लाग्ने ठूला ठूला रूख हुने वनस्पति।",III
कदर,सङ्.  ना.,"सम्मान, प्रशंसा",III
कदाचित,क्रियो.,"कहिल्यै पनि, कदापि",ISII
कदापि,क्रियो.,"कहिल्यै पनि, कदाचित",ISI
कनिका,ना.,"चामल टुक्रिएर बनेका स-साना टुक्रा
सग्लो भन्दा टुक्रा बढि भएको कम गुणस्तरको चामल ",IIS
कन्चट,ना.,आँखा र कानको बीचको भाग,SII
कन्तुर,सङ्.  ना.,"गहना, पैसा आदि राख्ने सानो बाकस",SII
कन्दमूल,ना.,वनस्पतिको जरामा फल्ने वा जरा नै खान मिल्ने खाद्य पदार्थ,SISI
कन्या,सङ्.  ना.,"विवाह नभएकी छोरीमान्छे
विवाहयोग्य छोरी",SS
कप,सङ्.  ना.,"कफि, चिया जस्ता पेय पदार्थ खानका लागि प्रयोग गरिने सानो कचौरा जस्तो आकार र एउटा समाउने भाग भएको प्याला
कुनै कुराको प्रतियोगितामा विजयीलाई प्रदान गर्न प्रायः धातुबाट तयार गरिन विशेष चिह्न अंकित गरिएको कप आकारको वस्तु
एक कपमा अटाउने जति मात्रा भएको",II
कपट,सङ्.  ना.,"जालझेल, षडयन्त्र र खराब नियतले भरिएको काम वा विचार",III
कपडा,ना.,"लुगा बनाउन वा अन्य कुनै कुरा ढाक्न, छेक्न र छोप्न प्रयोग गरिने कपास वा अन्य कुनै वस्तुको धागो वा कृत्रिम रेशा बुनेर बनाइएको वस्तु",IIS
कपाकप,रीवा.  क्रियो.,छिटोछिटो नरोकिइकन गाँसैमाथि गाँस गरेर खाँदाको किसिमले,ISII
कपाल,ना.,"टाउकाको रौं
दिमाग अथवा टाउको",ISI
कपास,ना.,धागो बनाउने रेसा भएको फल दिने एक प्रकारको बिरुवा र यसको फल,ISI
कपी,सङ्.  ना.,"लेख्नको लागि प्रयोग गरिने सानो पुस्तिका
कुनै वस्तुको एक एकाइ वा प्रति   
कुनै कुराको अभिलेख राख्न वा त्यस्तै प्रयोजनका लागि बनाइएको नक्कल",IS
कप्तान,ना.,"फुटबल, क्रिकेट, बास्केटबल जस्ता समूह समूहबीच खेलिने खेलमा खेलाडीहरूको टोली नेता
सैनिक सेवामा लेफ्टिनेन्टभन्दा माथिल्लो र मेजरभन्दा तल्लो तहको सैनिक अधिकृत; सहसेनानी",SSI
कफ,ना.,"खोक्दा मुखबाट बाहिर आउने श्वासनलीको माथिल्लो भागको भित्तामा जमेर रहने सिङान जस्तो चिप्लो र लेसिलो मैलो पदार्थ
आयुर्वेदअनुसार शरीर स्वस्थ रहनको लागि सन्तुलनमा रहनु पर्ने तीन दोष कफ, वात र पित्त मध्ये गर्मीको कारक मानिएको दोष।",II
कफी,ना.,"भुटेर र पिँधेर कलेजी रङको धुलो बनाई दुध वा पानीमा घोलेर चियाजस्तै पिउन मिल्ने सिमी आकारका दानाहरू लाग्ने, अग्ला रुखहरूको छहारीमा खेती गरिने एक प्रकारको वनस्पति वा त्यसमा लाग्ने फल
कफीको धुलो घोलेर बनाइएको पेय पदार्थ",IS
कबुल,ना.,"काम पूरा गर्न गरिएको वचनवद्धता; वाचा
स्वीकार गर्ने काम",III
कब्जा,ना.,"बलपूर्वक कुनै कुरालाई नियन्त्रणमा राख्ने काम
नियन्त्रण वा अधिन
झ्याल, ढोकालाई चौकोसमा अड्याउने फलामको पातो",SS
कब्जियत,असङ्.  ना.,पाचन क्रियामा समस्या आई दिसा राम्ररी खलास नहुने रोग,SIII
कभर,ना.,"पुस्तक, अभ्यास पुस्तिका आदिको बाहिरपट्टिको पाना वा गाता; आवरण
कुनै वस्तुलाई जतन गर्न बाहिरबाट त्यसलाई बेर्ने खोल।",III
कम,वि.,"खास तह वा मात्रा भन्दा थोरै
सामान्य वा लर्तरो
 थोरै महत्व भएको",II
कमजोर,वि.,"तागत, बल र क्षमतामा कमी भएको
फितलो र प्रभावहीन",IISI
कमण्डलु,सङ्.  ना.,"साधु, जोगीहरूले भिक्षा थाप्न वा पानी खान अथवा यज्ञ यज्ञादिमा जलाधार दिन प्रयोग गरिने करुवाको जस्तो टुटी र बाल्टीको जस्तो झुण्ड्याउने भएको एक प्रकारको भाँडा",ISII
कमरेड,सङ्.  ना.,"कम्युनिस्ट दर्शनबाट प्रभावित भएर गठन गरीएको राजनैतिक संस्थामा आबद्ध व्यक्ति; कम्युनिस्ट पार्टीको सदस्य
कम्युनिस्ट पार्टीको सदस्य रहेको अथवा त्यसमा आस्था र विश्वास राख्ने व्यक्तिलाई सम्बोधन गर्दा प्रयोग गरिने सम्मानजनक शब्द",IISI
कमर्स,असङ्.  ना.,"व्यापार, वाणिज्य, व्यवस्थापन, वित्त, बजार जस्ता व्यावसायिक विषयहरूको बारेमा औपचारिक शिक्षा दिइने अध्ययन अध्यापनको एउटा क्षेत्र",ISI
कमल,ना.,पोखरीको पानीको हिलोमा उम्रिएर पानीमाथि पात तैरिएर रहने तथा सेतो वा रातो फूल फुल्ने एक प्रकारको वनस्पति,III
कमलो,वि.,"दया, माया, सरलता र भावुकताले युक्त
काट्न, टोक्न, फुटाउन, टुक्र्याउन सजिलो हुने; नरम",IIS
कमसल,वि.,"निम्न गुणस्तरको
कमजोर
थोरै मूल्यको; सस्तो",IIII
कमसेकम,क्रियो.,कम्तीमा पनि,IISII
कमाउनु,क्रि.,"राम्रो काम गरेर सम्मान वा इज्जत पाउनु
कुनै काम गरे बापत नगद वा अन्य किसिमको सम्पत्ति पाउनु",ISII
कमाण्ड,ना.,सुरक्षा बलको समूहलाई परिचालन गर्ने र आवश्यक निर्दैशन दिने जिम्मेवारीसहितको नेतृत्व,ISI
कमाण्डर,ना.,"सैन्य वा सुरक्षाबलअन्तर्गत आफ्नो नेतृत्वमा रहेको वा आफूभन्दा तल्लो निकायलाई निर्देशन दिने व्यक्ति
कुनै उद्देश्य प्राप्तिका लागि संगठित समूह, दल आदिले गर्ने कार्यक्रमको नेतृत्व लिने व्यक्ति",ISII
कमाण्डो,ना.,जटिल र सम्वेदनशील अवस्थामा शत्रुहरूको सामना गर्नको लागि सेनाको खास समूहलाई दिइने तालिम अथवा त्यस्तो तालिम प्राप्त सैनिक वा सैनिकहरूको समूह,ISS
कमाल,असङ्.  ना.,सजिलै पत्याउन नसकिने काम; अचम्मको र अपत्यारिलो कुरा,ISI
कमिटी,सङ्.  ना.,"कुनै समूह, संघसंस्थाको प्रतिनिधि भएर त्यस समूह वा संस्थाका बारेमा वा त्यससँग सम्बन्धित कुनै निर्णय, योजना आदि गर्न बनेको समूह",IIS
कमिला,सङ्.  ना.,"छवटा खुट्टा हुने, चिल्नको लागि सानो सुँड भएका, प्वाल, पात आदिमा गुँड लगाउने र  समूहमा ताँती लागेर हिँड्ने एक प्रकारको मसिनो किरो",IIS
कमिसन,ना.,"निश्चित अवधि, कार्यक्षेत्र र अधिकार तोकी गठन गरिने एक निकाय; आयोग
व्यापार, ठेक्का आदिमा मध्यस्थ भएर काम गरे बापत ठेकेदार, व्यापारी वा कम्पनीले मध्यस्थ भएर काम गर्नेलाई दिने रकम",IIII
कमेरो,असङ्.  ना.,घर पोत्न प्रयोग गरिने सेतो रङको माटो,ISS
कम्ती,गुवा.  वि.,"सामान्यभन्दा थोरै
कमजोर वा निम्सरो
न्यूनतम; कमसेकम",SS
कम्पन,सङ्.  ना.,हलुकासँग काँप्दाको परिणाम; थरथराहट,SII
कम्पनी,सङ्.  ना.,"बेलायतले इस्ट-इन्डिया कम्पनीमार्फत भारतमा शासन गर्दाको समयमा भारतको कम्पनी सरकारले त्यहाँ चल्तीमा ल्याएको रुपियाँ
प्रचलित नियम-कानुनको अधिनमा रही एक वा एकभन्दा बढी व्यक्तिहरू सङ्गठित भएर स्थापना गरिएको औद्योगिक वा व्यापारिक संस्था
सेनाको सानो एकाइ; गुल्म",SIS
कम्पाउन्ड,ना.,"विद्यालय, घर, कार्यालय आदिले चर्चेको र बार तथा पर्खालले घेरेर छुट्याइएको त्यसको वरिपरिको जग्गा",SSSI
कम्प्युटर,सङ्.  ना.,"बिबिध प्रकारका तथ्याङ्कहरूको भण्डारण गर्न, त्यसलाई व्यवस्थित रूपले राख्न र सजिलोसँग भेट्टाउन तथा बिभिन्न मेशिनरी सामान नियन्त्रण गर्न प्रयोग गरिने विद्युतीय यन्त्र",SIII
कम्बल,सङ्.  ना.,ओढ्न अथवा ओछ्याउन प्रयोग गरिने ऊनबाट बनेको बाक्लो कपडा,SII
कम्मर,ना.,नाइटोभन्दा तल र जाँघभन्दा माथिको शरीरको भाग,SII
कम्युनिज्म,ना.,आधुनिक समयमा जर्मन दार्शनिक कार्ल मार्क्सले प्रतिपादन गरेको उत्पादनका साधनहरूमा सामाजिक स्वामित्व रहने र नीजि सम्पतिको अवधारणा समाप्त भएको वर्गविहीन सामाजिक अवस्थाको सिद्धान्त वा यस्तो सिद्धान्तमा आधारित रहेको शासन प्रणालि,SISI
कम्युनिस्ट,सङ्.  ना.,कम्युनिज्मको सिद्धान्तलाई मान्ने व्यक्ति वा कम्युनिज्म सिद्धान्तलाई आधार मानेर गठन भएको सङ्गठनको सदस्य,SISI
कयौं,वि.,सङ्ख्यामा निकै धेरै,IS
कर,ना.,"हात
राज्यबाट कुनै किसिमको सुविधा पाए बापत उपभोक्ताले सरकारलाई तिर्नु पर्ने दस्तुर
कुनै काम गर्नै पर्ने बाध्यता",II
करङ,सङ्.  ना.,"मेरुदण्डमा जोडिएर अडिई त्यसको दुईतिरबाट घुमेर आई अगाडि छातीमा रहेका मुटु, कलेजो आदि भित्री अङ्गलाई छोप्ने चेप्टो हड्डी",III
करण,ना.,"व्याक्यमा छ, हो वा हुन्छ भन्ने भाव बुझाउने क्रियाको रूप
वाक्यमा कर्ताको साधन बुझाउने कारक",III
करणी,ना.,"यौन सम्बन्ध, सम्भोग
काम",IIS
करनी,असङ्.  ना.,गरिएको वा गरिने काम,IIS
करामत,असङ्.  ना.,सामान्य अवस्थामा सजिलै विश्वास गर्न नसकिने काम,ISII
करार,ना.,दुई वा दुईभन्दा बढी पक्षबीच कुनै काम गर्ने वा नगर्ने बारेमा भएको सम्झौता,ISI
करिब,क्रियो.,"कुनै ठाउँ, सङ्ख्या, परिमाण आदिको नजिक; झन्डै",III
करुण,ना.,"साहित्यको नवरसमध्येको दया, माया र करुणाको भाव उत्पन्न गर्ने रस
दया, मायाको भाव जगाउने खालको
दया, मायाको भावले युक्त",III
करुणा,ना.,"कसैप्रति व्यक्त दया, माया र प्रेमको कोमल भाव",IIS
करेन्ट,ना.,बिजुलीको प्रवाह,ISI
करेला,सङ्.  ना.,"दुईतिर चोसो परेको, लाम्चो आकारको, सतह सानासाना तीनकुने टुसाजस्ता काँडाले ढाकिएको, तीतो स्वाद हुने, तरकारी वा अचारको रूपमा खाइने, झालमा फल्ने एक जातको फल वा त्यसको बोट",ISS
करोड,ना.,एक सय लाख बराबरको सङ्ख्या,ISI
कर्खा,ना.,"वीर विराङ्गनाको साहस, पुरुषार्थ र तिनको जीवनचरित्रलाई मूल विषय बनाई प्रशंसा गरी गाइने गीत",SS
कर्जा,ना.,"व्यक्ति, वित्तीय संस्था वा राष्ट्रले अर्को व्यक्ति वा कुनै निकायलाई दिने ऋण",SS
कर्णेल,ना.,सेनामा मेजरभन्दा माथिल्लो दर्जा; महासेनानी,SSI
कर्ता,ना.,"काम गर्ने वा काम सम्पन्न गर्नको लागि मुख्य भूमिका निर्वाह गर्ने व्यक्ति
घटनाको मूल कारण; मूल कारक तत्व 
वाक्यमा क्रियाले सङ्केत गरेको कार्ययाव्यापार सम्पन्न गर्ने नामिक पद
क्रियासँग अन्यव राख्ने नामिक पद",SS
कर्नाल,सङ्.  ना.,एक छेउ मसिनो र अर्को छेउतिर बिस्तारै फराकिलो हुँदै गएको लामो ढुङ्ग्रो आकारको तथा मसिनो छेउमा मुखले फुकेर बजाइने एक बाजा,SSI
कर्फ्यु,ना.,सर्वसाधारण मानिसहरूलाई तोकिएको समयावधिभरि तोकिएको सिमाक्षेत्रभित्र आवतजावत गर्न र भेला हुन रोक लगाउने कानूनी आदेश,SI
कर्म,ना.,"व्याकरणमा द्वित्तीय कारक, कर्म कारक
गर्नु पर्ने काम; कर्तव्य
प्रारब्ध; भाग्य; लेखा
संस्कार",SI
कर्मचारी,ना.,कुनै संघसंस्था वा निकायमा त्यसकै अङ्गको रूपमा काम गर्ने व्यक्ति,SISS
कर्मठ,वि.,कर्म गर्न शारीरिक एवम् मानसिक रुपले तयार,SII
कल,असङ्.  ना.,"एक-आपसमा हुने झगडा, कलह, भनाभन 
 सामूहिक रुपमा निकालिने लामो आवाज
विभिन्न पाटपुर्जा र उपकरण जोडेर  बनाइएको यन्त्र; मेसिन
टेलिफोनमार्फत सम्पर्क गर्न गरेको प्रयास वा त्यस्तो सम्पर्कबाट हुने कुराकानी
जमिनमुनिबाट पानि निकाल्ने यन्त्र; ट्युबवेल",II
कलकल,क्रियो.,"पानी बग्दा मन्द आवाज निकालेर बग्ने गरी
पानी खाँदा घाँटीबाट पानी निलेको आवाज आउने गरी
नदी, खोला, कुलो, आदिमा पानी बहँदा निस्कने मन्द आवाज
कर्णप्रिय आवाज भएको",IIII
कलङ्क,ना.,"अनैतिक वा खराव कामको दोष 
आफूले नगरेको गल्तीको दोष; लाञ्छना; आरोप
खराब कुरा
कुनै कुरामा लाग्ने दाग, छिटो",ISI
कलम,सङ्.  ना.,लेख्ने साधन वा उपकरण,III
कलर,सङ्.  ना.,"कमिज, दौरा, कोट आदि सिलाउँदा गर्धनलाई घेर्ने गरी दोब्‍‍र्‍याएर कडा पारी बनाइएको घेरो
रातो, कालो, हरियो आदि; रङ
विभिन्न रङ भएको",III
कलरव,ना.,मीठो र मधुर लाग्ने ध्वनि,IIII
कलश,ना.,माङ्गलिक कार्यका समयमा शुभ साइतका लागि पानी भरेर राखेको सानो घडा,III
कलह,ना.,परस्परमा हुने झै-झगडा,III
कला,असङ्.  ना.,कामलाई कुशलतापूर्वक सम्पन्न गर्न सक्ने सीप तथा क्षमता,IS
कलिलो,वि.,"सानो, नरम र मुलायम
भर्खरको; कम उमेरको",IIS
कलेज,ना.,विद्यालय तहभन्दा माथिल्लो तहको अध्ययन-अध्यापन हुने ठाँउ; क्याम्पस; महाविद्यालय,ISI
कलेजो,सङ्.  ना.,"रगतमा रहेका हानिकारक पदार्थहरूबाट रगतलाई शुद्धिकरण गर्ने, बाइल नामको पाचन रस पैदा गर्ने र रगतको परिमाणलाई सन्तुलन राख्न मद्दत गर्ने मेरुदण्ड हुने प्राणीहरूको पेटको माथिल्लो भागमा रहने गाढा रातो रङको नरम अङ्ग",ISS
कलेवर,ना.,"वाह्य स्वरूप; ढाँचाकाँचा
वाहिरी आवरण",ISII
कल्चर,ना.,अनुसन्धान गर्न लागिएको कोषलाई विशेष रसायनिक प्रक्रियाको प्रयोग गरेर वृद्धि गराउने काम,SII
कल्प,सङ्.  ना.,"वेदको ६ अङ्गमध्ये यज्ञ, यज्ञादि र कर्मकाण्डको शिक्षा दिने अङ्ग
पृथ्वीको भौगर्भिक परिवर्तनको क्रममा एउटा निश्चित विकासको आदि तथा अन्त हुने, विभिन्न युगमा बाँडिएको लामो कालखण्ड
हिन्दू पञ्चाङ्गअनुसार चौध मन्वन्तर अथावा एक हजार महायुग बराबरको कालखण्ड अथवा पुराणअनुसार ब्रह्माको एकदिन बराबरको अबधी",SI
कल्पना,ना.,"मनमस्तिष्कमा उब्जने कुरा, चित्र, प्रतिमा आदिको प्रवाह
कुनै विषयलाई लिएर सोचविचार गर्ने काम",SIS
कल्याण,ना.,भलाइ तथा उपकार हुने काम,SSI
कल्ली,ना.,चाँदी आदि धातुबाट बनाइएको पिँडुलाको तल्लो भाग अर्थात् गोलीगाँठाभन्दा माथि लगाइने बाला जस्तै एक गहना,SS
कवच,सङ्.  ना.,"चोट, प्रहार आदिबाट जोगिन शरीरमा पहिरिने आवरण; ढाल
जटिल परिस्थितिबाट जोगाउने र संरक्षण गर्ने वस्तु",III
कवाज,ना.,"सैनिक सेवामा सामूहिक रुपमा दिइने शारीरिक व्यायाम वा प्रशिक्षण, सैनिक तालिम",ISI
कवि,ना.,कविता सृजना गर्ने व्यक्ति,II
कष्ट,सङ्.  ना.,"शरीरमा चोट, कुनै रोग आदिको कारणले हुने दुखाइ
मनमा चिन्ता, डर आदिले हुने दुःख
काम गर्दा गाह्रो हुने अवस्था",SI
कसम,ना.,"कुनै कुरा पूरा  गर्न गरिएको वचनवद्धता, वाचा वा प्रतिज्ञा",III
कसर,सङ्.  ना.,काम गर्दा  वा कुनै कुरामा देखिने त्रुटी वा खराब भावना,III
कसरत,असङ्.  ना.,"शारीरिक एवम् मानसिक मेहनत, परिश्रम",IIII
कसरी,क्रियो.," कुन किसिमले, तरिकाले वा तरहले ",IIS
कसाई,ना.,पशु तथा पंक्षी काटेर मासु बेच्ने व्यक्ति,ISS
कसार,सङ्.  ना.,"बिहे, व्रतबन्ध जस्ता कार्यमा सगुनको रूपमा प्रयोग हुने भुटेको चामलको पीठोमा खुदो मिसाई डल्ला पारेर बनाइएको खानेकुरा",ISI
कसी,ना.,"सुन, चाँदी जस्ता धातु घोटेर तिनको गुण ठम्याउन प्रयोग गरिने कालो चिल्लो ढुङ्गो
कुनै कुरा, विषय आदिको गुणात्मक तह खुट्याउन प्रयोग गरिने आधार",IS
कस्तो,वि.,के जस्तो; कुन किसिमको,SS
कहाँ,क्रियो.,"कुन स्थान वा ठाउँमा भनेर प्रश्न गर्दा प्रयोग गरिने शब्द
कुन ठाउँमा भनी सोध्न प्रयोग गरिने शब्द",IS
कहानी,ना.,काल्पनिक वा सत्य घटनामा आधारित कथा वा विवरण,ISS
कहाली,ना.,"भयावह र डरलाग्दो कुरा सुन्दा वा देख्दा पैदा हुने त्रास, डर",ISS
कहावत,सङ्.  ना.,"पुरानो कालदेखि सुनिदै आएको कुरा, जनश्रुति, लोकोक्ति",ISII
कहिले,क्रियो.,कुन समयमा वा कति खेर भनेर प्रश्न सोध्न प्रयोग गरिने शब्द,IIS
कहिल्यै,अनि.  क्रियो.,कुनै समयमा पनि,ISS
कहीँ,अनि.  क्रियो.,कुनै ठाउँमा; कतै,IS
काँक्रो,ना.,"लाम्चो र गोलो आकारको, काँचै वा अचार, तरकारी बनाएर खान मिल्ने, भित्र मसिना र लाम्चा बिया हुने, करेलो, फर्सी झैँ झालमा फल्ने एक फल वा त्यस्तो फल फल्ने झाल, लहरो",SS
काँग्रेस,ना.,नेपालमा नेपाली काँग्रेसलाई र भारतमा भारतीय काँग्रेस दललाई बुझाउन छोटकरीमा प्रयोग गरिने शब्द,SSI
काँच,असङ्.  ना.,"चुन, वालुवा, सोडा आदि मिसाएर तयार पारिएको र ऐना, चुरा, गिलास, बोतल आदि बनाउन प्रयोग गरिने पारदर्शक, कडा, चम्किलो वस्तु; सिसा",SI
काँचो,गुवा.  वि.,"उमेर धेरै नभएको; अपरिपक्व; अल्लारेपन भएको
नपाकेको; नउमालिएको; नतताइएको
नपाकेको फलफुल, बाली आदि
वनस्पतिको हकमा नसुकेको, नमरेको",SS
काँडो,ना.,"वनस्पतिको फेद, हाँगा, पात आदि ठाउँमा निस्केका घोच्ने तीखा टुसा
ठण्डी, डर आदिका कारणले शरीरको छालामा एकाएक देखा पर्ने अस्थायी मसिना बिविरा
दुम्सीका शरीरलाई ढाक्ने तीखा घोच्ने कुरा जसलाई दुम्सीले आत्मसुरक्षाका लागि ठाडो बनाउने र आवश्यक भएमा दुश्मनतिर जोडले फ्याँक्ने काम गर्दछ
माछाको शरीर भित्र हुने हड्डी जस्तै तीखा वस्तु
दुःख, पिडा दिने व्यक्ति, वस्तु वा अरू केही
वनस्पतिको वोक्रा, जरा, वा मिस्री वा अन्य कुनै खानेकुरालाई धेरै बेर पानीमा पकाएर बनाइएको तागतिलो पेय पदार्थ",SS
काँध,ना.,कुमदेखि गर्धनसम्मको भाग,SI
काँस,ना.,"तामा र राङ मिसाएर बनाइएको धातु
सेतो फुल्ने कुश जस्तै एक वनस्पति",SI
काइँला,ना.,उमेरको ज्येष्ठताको क्रममा जेठोदेखिको चौथो स्थानमा पर्ने व्यक्ति,SIS
काइते,गुवा.  वि.,तात्विक अर्थ नभएको; गम्भीरता नभएको; कुनै महत्व नबोकेको,SIS
काइदा,सङ्.  ना.,काम गर्ने तौरतरिका; विधि ,SIS
काउकुती,ना.,शरीरका खास गरेर नरम अङ्गहरूमा हल्का रुपमा स्पर्श गर्दा वा कसैलाई देख्दा पैदा हुने हाँसो; कुतकुती  ,SIIS
काउन्टर,सङ्.  ना.,ग्राहक तथा आगन्तुकलाई सेवा प्रदान गर्न कुनै पनि कार्यालयको अगाडिपट्टि रहने एक कक्ष,SSII
काउली,सङ्.  ना.,पातहरूको बीचमा ठूलो फूलको रूपमा फुल्ने एक प्रकारको तरकारी ,SIS
काकताली,ना.,विना कुनै योजना मिलेको वा भएको स्थिति; संयोग,SISS
काका,ना.,बुवाको सहोदर भाइ,SS
काकाकुल,सङ्.  ना.,"वर्षादको समयमा आकाशको पानी आकासतिरै फर्केर पानी खाने एक जातको पन्छी
तिर्खाले व्याकुल, पानी नपाएर छट्पटिएको",SSII
काख,ना.,पलेँटी मारेर बस्दा दुई तिघ्रा र कम्मरले घेरेको भाग,SI
काखी,ना.,उमेर पुगेपछि रौँले ढाक्ने पाखुरा मुनिको र कोखाभन्दा माथिको खाल्टो परेको भाग,SS
काग,ना.,कोइलीभन्दा केही ठूलो कालो रंग हुने चरो,SI
कागज,ना.,"लेख्नलाई प्रयोग गरिने विशेष प्रकारको घाँसपात र वनस्पतिहरूबाट निर्माण गरिने पातलो पत्रजस्तो वस्तु
प्रमाणका लागि लेखिएको कागजपत्र; ",SII
कागती,सङ्.  ना.,"काँचो हुँदा हरियो र पाकेपछि पहेँलो बोक्रा हुने, अमिलो रसले भरिएको, मुट्ठीमा अटाउने सानो गोलो आकारको एक प्रकारको फल वा त्यस्तो फल लाग्ने वनस्पति",SIS
काङलिङ,ना.,नलीहाडबाट बनाइएको विशेष गरी धार्मिक कार्य एवम् भूतप्रेत भगाउने तथा फेरी लगाउनेले बजाउने एक प्रकारको मुखले फुकेर बजाइने बाजा,SIII
काज,असङ्.  ना.,"सरकारी वा गैरसरकारी सेवाका कर्मचारी, शिक्षक आदिले कामको शिलशिलामा निश्चित अवधिको लागि आफ्नो कार्यालयभन्दा बाहिर अन्यत्र गई गर्ने काम",SI
काट्नु,क्रि.,"सम्पर्क विच्छेद गर्नु
हतियारको प्रयोग गरेर कुनै चिजलाई त्यसको प्राकृतिक स्थानबाट छुट्याएर अलग पार्नु
सुख, दुःख आदि भोग्नु
दुरी पार गर्नु
बस, रेल, चलचित्र  आदिको टिकट किन्नु
कुनै सूचना दिन, काम लगाउन आदिको लागि चिठी, पत्र, पुर्जी आदि जारी गर्नु
बनाइएको नियम, अनुशासन आदिको उल्लङ्घन गर्नु
दाँतको धारको सहयोगले कुनै कुरालाई च्यात्नु, टुक्र्याउनु
हतियारको प्रयोग गरी चोट पुर्याउनु
भाग वा परिमाण घटाउनु
समय बिताउनु
हतियारको प्रयोग गरी मासुको प्रयोजनको लागि प्राणिलाई मार्नु",SI
काठ,ना.,रूखको बोक्राभित्र रहेको कडा भाग,SI
काण्ड,सङ्.  ना.,"नराम्रो र भयानक परिणाम आउने गरी मच्चाइएको वितण्डा, नराम्रो काम आदि
कुनै वृहद पुस्तकमा निश्चित प्रसंगका आधारमा छुट्टाइएका आध्यायहरू",SI
कात्तिक,ना.,विक्रम सम्बतको पात्रो अनुसार वर्षको सातौँ महिना,SII
कान,ना.,टाउकाको दुवैतिर रहेका सुन्ने अङ्ग,SI
कानुन,ना.,"समाजमा अमनचैन, शान्ति आदि कायम राख्न, कुनै अवान्छित गतिविधि रोक्न आदिका लागि समाज वा प्रशासनका तहबाट बनाइएका लिखित वा अलिखित नियम",SII
कान्छो,ना.,उमेरको ज्येष्ठताको क्रममा सबै भन्दा सानो उमेरको व्यक्ति,SS
कान्ति,असङ्.  ना.,"व्यक्ति अथवा वस्तुमा देखिने चहक, तेज वा सौन्दर्य",SI
कान्लो,ना.,खेतबारीमा एउटा गरा र अर्को गराको बीचमा रहेको गराहरूलाई छुट्याउने जमिनको भिरालो भाग,SS
काप,ना.,जोडिएला झैँ भएर रहेका दुई वस्तुहरूको बीचमा रहेको साँघुरो र खुल्ला स्थान,SI
कापी,सङ्.  ना.,लेख्नको लागि प्रयोग गरिने कागज; अभ्यास पुस्तिका,SS
काफल,ना.,"साना र लाम्चा पात हुने मझौला आकारका बोट हुने, केही चिसो हावापानी भएको ठाउँमा गर्मी महिनामा फल्ने, पाकेपछि रातो हुने सानो केराउको गेडा जत्रो फल",SII
काफी,वि.,चाहिने जति वा सोभन्दा बढी; प्रशस्त,SS
काबु,ना.,नियन्त्रण,SI
काम,सङ्.  ना.,"व्यक्तिले जीवन निर्वाह गर्न अपनाएको इलम
निर्वाह गर्नुपर्ने जिम्मेवारी",SI
कामत,ना.,मूल घरभन्दा टाढा रहेको जग्गामा खेतीपातीको रेखदेख गर्नका लागि बनाइएको घर तथा त्यस्तो ठाउँमा रहेको खेतबारी,SII
कामना,ना.,"भित्री इच्छा, चाहना वा आकाङ्क्षा",SIS
कामयाव,वि.,कुनै काममा सफलता प्राप्त गरेको; सफल,SISI
कामी,ना.,"फलामका भाँडाकुँडा, घरेलु हतियार आदि बनाउने काम गर्ने दलित समूहमा पर्ने एक जाति",SS
कामु,ना.,कायममुकायम शव्दको छोटो रुप,SI
काम्नु,अक.  क्रि.,"कुनै चिज, शरीर आदि थर्थराउनु; काँप्नु",SI
कायम,वि.,पहिलेको जस्तो; जँहाको तँही रहेको; यथावत,SII
कायर,वि.,सजिलै डराउने; अप्ठ्यारो र डरलाग्दो अवस्थाको सामना गर्न नसक्ने,SII
कायल,वि.,हैरान; दिक्क,SII
काया,ना.,"भौतिक शरीर; बाह्य रूपरेखा, आवरण",SS
कार,ना.,थोरै व्यक्तिहरू बसेर यात्रा गर्न सकिने निजि रुपले चलाइने होचो प्रकारको एक सवारी साधन,SI
कारक,सङ्.  ना.,"वाक्यमा क्रियाले बुझाउने कार्य सम्पादन गर्न सहभागी नामपदलाई क्रियाले दिने भूमिका
कुनै कार्य वा घटनालाई प्रभाव पार्ने तत्व, कारण
कुनै कुराको कारण हुन पुगेको",SII
कारखाना,सङ्.  ना.,कच्चा पदार्थलाई प्रशोधन गरी उपभोग्य सामग्री उत्पादन गर्ने ठाउँ,SISS
कारण,सङ्.  ना.,"कुनै परिणाम, नतिजा वा प्रभाव उत्पन्न गर्ने हेतु; प्रेरणाको श्रोत",SII
कारबाही,सङ्.  ना.,प्रचलित नियम कानुन विपरित काम गरे वापत दिइने सजाय,SISS
कारागार,सङ्.  ना.,"गैरकानुनी, नराम्रो वा कुनै अवाञ्छित काम गर्नेलाई सजायँस्वरूप थुनेर राखिने घर; जेल",SSSI
कारिन्दा,सङ्.  ना.,तल्लो ओहदाको कर्मचारी,SSS
कारोबार,ना.,"व्यापार, व्यवसाय जस्ता क्षेत्रमा हुने लेनदेन",SSSI
